index,user_id,time,rating,text,gmap_id,pics_collapsed,name,description,category,url,is_ads,is_irrelevant,is_no_visit_rant,is_no_violation
0,118026874392842649478,1620085852324,5,Always done right from wood stove to screens!,0x89e02445cb9db457:0x37f42bff4edf7a43,[],Royal Group,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e02445cb9db457:0x37f42bff4edf7a43?authuser=-1&hl=en&gl=us,False,False,False,True
1,101532740754036204131,1580309946474,5,A great company to work with. Their sales and tech staff are very knowledgeable and easy to work with. They will come up with a solution for any size company with any size budget. Can't recommend them more highly!,0x89e02445cb9db457:0x37f42bff4edf7a43,[],Royal Group,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e02445cb9db457:0x37f42bff4edf7a43?authuser=-1&hl=en&gl=us,True,False,False,False
2,115404122636203550540,1605195974445,5,"Great place to do business with staff was great,thank u!",0x89e02445cb9db457:0x37f42bff4edf7a43,[],Royal Group,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e02445cb9db457:0x37f42bff4edf7a43?authuser=-1&hl=en&gl=us,False,False,False,True
3,104789336434407408181,1593005848256,5,"Awesome Customer service, quick response, and willing to help whether you are a customer or not. A+ we need more businesses like this.",0x89e02445cb9db457:0x37f42bff4edf7a43,[],Royal Group,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e02445cb9db457:0x37f42bff4edf7a43?authuser=-1&hl=en&gl=us,False,False,False,True
4,108980665975608069965,1582059996120,5,"If you need a top quality job, by a group of professionals, this is the only place to go! A plus service.",0x89e02445cb9db457:0x37f42bff4edf7a43,[],Royal Group,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e02445cb9db457:0x37f42bff4edf7a43?authuser=-1&hl=en&gl=us,True,False,False,False
5,115417116172514730442,1549919688918,5,These guys are the best. They showed up right on time and did a fantastic job. Thanks!,0x89e02445cb9db457:0x37f42bff4edf7a43,[],Royal Group,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e02445cb9db457:0x37f42bff4edf7a43?authuser=-1&hl=en&gl=us,False,False,False,True
6,112907968101182526215,1550541650579,5,"Great customer service, friendly and professional staff. I just had a new security system installed at my office - everything went well - from the initial consult, a detailed quote, installation and then a follow up to make sure things were running smoothly.",0x89e02445cb9db457:0x37f42bff4edf7a43,[],Royal Group,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e02445cb9db457:0x37f42bff4edf7a43?authuser=-1&hl=en&gl=us,False,False,False,True
7,107382525036596689455,1565098934073,5,"Two royal group employees saved me! I ran out of gas on the side of the road and one of them stayed with my car and the other drive me to the nearest gas station and helped me get a gas can, fill it and took me back to my car, and made sure it started before they headed off!! Thank you Bob and Rustin!! Choose royal group, their employees care about more than what they are paid to do.",0x89e02445cb9db457:0x37f42bff4edf7a43,[],Royal Group,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e02445cb9db457:0x37f42bff4edf7a43?authuser=-1&hl=en&gl=us,False,False,False,True
11,100344669220980408507,1366564616815,5,"First time visit, and I will go back. This shop has such unique gifts for everyone. The buyer does an excellent job with their selections and I found just what I was looking for. Nice friendly staff as well.",0x4cb54a301f3518f7:0x39af4eda1efb9117,[],Carr's Gifts,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cb54a301f3518f7:0x39af4eda1efb9117?authuser=-1&hl=en&gl=us,True,False,False,False
12,103647173039081882850,1556986415414,5,Love Carrs....always have very nice people!!,0x4cb54a301f3518f7:0x39af4eda1efb9117,[],Carr's Gifts,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cb54a301f3518f7:0x39af4eda1efb9117?authuser=-1&hl=en&gl=us,False,False,False,True
